outlet_id,file_name,app_flagged,suspicion_score,verdict,note
outlet_04473281,image_0001_1.jpg,1,0.6968,TP,different place or not the outlet
outlet_04473281,image_0002_1.jpg,1,0.6829,TP,different place or not the outlet
outlet_045f93b1,image_0002_1.jpg,1,0.7755,U,"shutter/interior/close-up, cannot verify"
outlet_045f93b1,image_0001_1.jpg,1,0.4502,TP,different place or not the outlet
outlet_0c0e85b4,image_0001.jpg,1,0.7904,TP,different place or not the outlet
outlet_10c7ca00,image_0013.jpg,1,0.5001,FP,"same Reload Squad shop, wider view"
outlet_16412021,image_0004.jpg,1,0.7129,FP,same pharmacy sign close-up
outlet_288f9f47,image_0002_1.jpg,1,0.8044,TP,different place or not the outlet
outlet_288f9f47,image_0001_1.jpg,1,0.6558,TP,different place or not the outlet
outlet_28e3acec,image_0001_1_1.jpg,1,0.7994,TP,different place or not the outlet
outlet_28e3acec,image_0001_1.jpg,1,0.6641,TP,different place or not the outlet
outlet_28e3acec,image_0001_2.jpg,1,0.5076,TP,different place or not the outlet
outlet_28e3acec,image_0002_1.jpg,1,0.5045,TP,different place or not the outlet
outlet_2ed27fc4,image_0003.jpg,1,0.7843,TP,different place or not the outlet
outlet_2fed22e2,image_0001.jpg,1,0.3526,FP,RONALD same shop side angle
outlet_349bc0a8,image_0007.jpg,1,0.7783,TP,different place or not the outlet
outlet_349bc0a8,image_0001_1.jpg,1,0.8133,TP,different place or not the outlet
outlet_349bc0a8,image_0002_1.jpg,1,0.6588,TP,different place or not the outlet
outlet_4369bd99,image_0006.jpg,1,0.9320,TP,different place or not the outlet
outlet_486748c6,image_0002.jpg,1,0.8722,U,"shutter/interior/close-up, cannot verify"
outlet_486748c6,image_0003.jpg,1,0.8004,U,"shutter/interior/close-up, cannot verify"
outlet_5d690cb1,image_0001.jpg,1,0.6894,U,"shutter/interior/close-up, cannot verify"
outlet_5edce88b,image_0009.jpg,1,0.5329,FP,same restaurant at night
outlet_6087824b,image_0015.jpg,1,0.3602,FP,"APONJON english sign, same shop"
outlet_612f8240,image_0002_1.jpg,1,0.5480,TP,different place or not the outlet
outlet_648ccd9a,image_0002_1.jpg,1,0.8101,TP,different place or not the outlet
outlet_648ccd9a,image_0003_1.jpg,1,0.7257,TP,different place or not the outlet
outlet_66dff2a1,image_0001_1.jpg,1,0.7026,TP,different place or not the outlet
outlet_680cfd33,image_0001.jpg,1,0.9320,TP,different place or not the outlet
outlet_6b2080bc,image_0003.jpg,1,0.8165,TP,different place or not the outlet
outlet_6cd2f45a,image_0002.jpg,1,0.8889,U,"shutter/interior/close-up, cannot verify"
outlet_76e418b9,image_0002.jpg,1,0.6823,TP,different place or not the outlet
outlet_777f9297,image_0001_1.jpg,1,0.6489,TP,different place or not the outlet
outlet_7f1dd575,image_0001_1.jpg,1,0.6204,TP,different place or not the outlet
outlet_827dd729,image_0001_1.jpg,1,0.8878,TP,different place or not the outlet
outlet_827dd729,image_0003.jpg,1,0.6281,FP,shutter under same MONNO CERAMIC sign
outlet_8543b5b4,image_0004_1.jpg,1,0.7913,U,"shutter/interior/close-up, cannot verify"
outlet_89fe040d,image_0002.jpg,1,0.6956,U,"shutter/interior/close-up, cannot verify"
outlet_89fe040d,image_0007.jpg,1,0.4375,FP,same shop pillar signage
outlet_89fe040d,image_0008.jpg,1,0.4035,FP,same shop looking out
outlet_9c031b9b,image_0003_1.jpg,1,0.9091,TP,different place or not the outlet
outlet_9c031b9b,image_0004_1.jpg,1,0.7718,TP,different place or not the outlet
outlet_9c031b9b,image_0002_1.jpg,1,0.7981,TP,different place or not the outlet
outlet_aa55187a,image_0003_1.jpg,1,0.6576,TP,different place or not the outlet
outlet_abd3f7bb,image_0001.jpg,1,0.7755,TP,different place or not the outlet
outlet_aeaf0389,image_0001.jpg,1,0.7498,U,"shutter/interior/close-up, cannot verify"
outlet_b6409886,image_0002_1.jpg,1,0.7042,TP,different place or not the outlet
outlet_b6409886,image_0001_1.jpg,1,0.6552,TP,different place or not the outlet
outlet_bb8db053,image_0006.jpg,1,0.6308,U,"shutter/interior/close-up, cannot verify"
outlet_c2181b07,image_0003_1.jpg,1,0.6025,TP,different place or not the outlet
outlet_c45b06f5,image_0007.jpg,1,0.7996,U,"shutter/interior/close-up, cannot verify"
outlet_c816ff76,image_0001_1.jpg,1,0.8050,U,"shutter/interior/close-up, cannot verify"
outlet_c9465127,image_0009.jpg,1,0.5712,FP,"same shop shutter down, same frame/ceiling"
outlet_cf8dc0e2,image_0002_1.jpg,1,0.7126,TP,different place or not the outlet
outlet_cf8dc0e2,image_0001_1.jpg,1,0.6982,TP,different place or not the outlet
outlet_def72cf4,image_0001.jpg,1,0.7458,U,"shutter/interior/close-up, cannot verify"
outlet_def72cf4,image_0001_1.jpg,1,0.4528,TP,different place or not the outlet
outlet_e1278646,image_0001_1.jpg,1,0.6796,TP,different place or not the outlet
outlet_e9f9a70d,image_0002.jpg,1,0.7440,U,"shutter/interior/close-up, cannot verify"
outlet_ef7a091c,image_0004.jpg,1,0.4922,FP,same SUNGAS shop interior
outlet_fe059a3c,image_0005.jpg,1,0.9402,TP,different place or not the outlet
outlet_5234b92a,image_0001_1.jpg,1,0.7921,TP,"pharmacy, not the green-shutter shop (recovered by gate fix)"
outlet_5234b92a,image_0002_1.jpg,1,0.7364,TP,"pharmacy, not the green-shutter shop (recovered by gate fix)"
outlet_5234b92a,image_0003_1.jpg,1,0.7662,TP,"pharmacy, not the green-shutter shop (recovered by gate fix)"
outlet_5234b92a,image_0004_1.jpg,1,0.8166,TP,"pharmacy, not the green-shutter shop (recovered by gate fix)"
outlet_1a444d86,image_0001_1.jpg,1,0.7195,TP,flower stalls (recovered by gate fix)
outlet_1a444d86,image_0002_1.jpg,1,0.3980,TP,flower stalls (recovered by gate fix)
outlet_1a444d86,image_0003_1.jpg,1,0.6996,TP,flower stalls (recovered by gate fix)
outlet_1a444d86,image_0004_1.jpg,1,0.7940,TP,flower stalls (recovered by gate fix)
outlet_4ba8e6fb,image_0001_1.jpg,0,0.0646,FN,DO THE DEW shop / other tin shop
outlet_4ba8e6fb,image_0002_1.jpg,0,0.0501,FN,DO THE DEW shop / other tin shop
outlet_4ba8e6fb,image_0003_1.jpg,0,0.0453,FN,DO THE DEW shop / other tin shop
outlet_4ba8e6fb,image_0004_1.jpg,0,0.0804,FN,DO THE DEW shop / other tin shop
outlet_6aa59f2b,image_0001_1.jpg,0,0.2207,FN,PACE IT building / blue 2-storey
outlet_6aa59f2b,image_0002_1.jpg,0,0.2238,FN,PACE IT building / blue 2-storey
outlet_6aa59f2b,image_0003_1.jpg,0,0.3389,FN,PACE IT building / blue 2-storey
outlet_6aa59f2b,image_0004_1.jpg,0,0.1748,FN,PACE IT building / blue 2-storey
outlet_7b0d7e5d,image_0001_1.jpg,0,0.3431,FN,Lucky Cosmetics shop
outlet_7b0d7e5d,image_0002_1.jpg,0,0.1341,FN,Lucky Cosmetics shop
outlet_7b0d7e5d,image_0003_1.jpg,0,0.3085,FN,Lucky Cosmetics shop
outlet_7b0d7e5d,image_0004_1.jpg,0,0.1205,FN,Lucky Cosmetics shop
outlet_9f1d1b48,image_0001_1.jpg,0,0.2206,FN,four different shops
outlet_9f1d1b48,image_0002_1.jpg,0,0.2265,FN,four different shops
outlet_9f1d1b48,image_0003_1.jpg,0,0.2824,FN,four different shops
outlet_9f1d1b48,image_0004_1.jpg,0,0.2207,FN,four different shops
outlet_4eaf2e47,image_0001_1.jpg,0,0.3332,FN,barber / pink shutter / other shop
outlet_4eaf2e47,image_0001_2.jpg,0,0.3406,FN,barber / pink shutter / other shop
outlet_4eaf2e47,image_0001_1_1.jpg,0,0.2325,FN,barber / pink shutter / other shop
outlet_8543b5b4,image_0001_1.jpg,0,0.0187,FN,"grocery with sacks, not clothing shop"
outlet_8543b5b4,image_0002_1.jpg,0,0.0304,FN,"grocery with sacks, not clothing shop"
outlet_8543b5b4,image_0003_1.jpg,0,0.0213,FN,"grocery with sacks, not clothing shop"
outlet_aa55187a,image_0001_1.jpg,1,0.6243,TP,cyan shutter shop / wall with trees (recovered by gate fix)
outlet_aa55187a,image_0001_1_1.jpg,1,0.7443,TP,cyan shutter shop / wall with trees (recovered by gate fix)
outlet_aa55187a,image_0002_1.jpg,1,0.8083,TP,cyan shutter shop / wall with trees (recovered by gate fix)
outlet_28e3acec,image_0002_2.jpg,0,0.0631,FN,Twist&Taste restaurant / other shop row
outlet_28e3acec,image_0003_1.jpg,0,0.0318,FN,Twist&Taste restaurant / other shop row
outlet_927fbbbb,image_0002_1.jpg,1,0.8249,TP,"warehouse interior (score 0.53, z-gate) / green shutter (recovered by gate fix)"
outlet_927fbbbb,image_0001_1.jpg,0,0.2227,FN,"warehouse interior (score 0.53, z-gate) / green shutter"
outlet_d41a1422,image_0001_1.jpg,0,0.2207,FN,"grocery / gray shutter, not food cart"
outlet_d41a1422,image_0002_1.jpg,0,0.2453,FN,"grocery / gray shutter, not food cart"
outlet_76e418b9,image_0001_1.jpg,0,0.2415,FN,village road / other building
outlet_76e418b9,image_0002_1.jpg,0,0.2215,FN,village road / other building
outlet_648ccd9a,image_0001_1.jpg,0,0.2446,FN,grameenphone shop
outlet_9c031b9b,image_0001_1.jpg,1,0.8901,TP,"fashion shop, not HELLO store (recovered by gate fix)"
outlet_ac904859,image_0001_1.jpg,1,0.7153,TP,large grocery interior vs small tin kiosk (recovered by gate fix)
outlet_ac904859,image_0002_1.jpg,1,0.7033,TP,large grocery interior vs small tin kiosk (recovered by gate fix)
outlet_ac904859,image_0003_1.jpg,1,0.6276,TP,large grocery interior vs small tin kiosk (recovered by gate fix)
outlet_e181d85d,image_0001_1.jpg,0,0.2248,FN?,green shutter w/ white pillars vs jewellers
outlet_e181d85d,image_0002_1.jpg,0,0.2253,FN?,green shutter w/ white pillars vs jewellers
